SECURITIES;ERROR CODE;NUM FLDS;ID_ISIN;CRNCY;PX_CLOSE_DT;PX_LAST;AMT_OUTSTANDING;SP_EFF_DT;RTG_SP;RTG_SP_LT_LC_ISS_CRED_RTG_DT;RTG_SP_LT_LC_ISSUER_CREDIT;FITCH_EFF_DT;RTG_FITCH_LT_ISSUER_DFLT_RTG_DT;RTG_FITCH;RTG_FITCH_LT_ISSUER_DEFAULT;RTG_FITCH_SEN_UNSEC_RTG_DT;RTG_FITCH_SEN_UNSECURED;MOODY_EFF_DT;RTG_MOODY_LONG_TERM_DATE;RTG_MOODY;RTG_MOODY_LONG_TERM;RTG_MDY_ISSUER_RTG_DT;RTG_MDY_ISSUER;RTG_MDY_SEN_UNSECURED_DEBT;PX_BID;PX_ASK;PREV_CPN_DT;MTG_FACTOR_SET_DT;DAYS_ACC;DUR_ADJ_ASK;DUR_ADJ_BID;DUR_ADJ_MID;OAS_SPREAD_MID;OAS_SPREAD_BID;OAS_SPREAD_ASK;MTG_LIFE_FLOOR;MTG_LIFE_CAP;DEFAULT_PERCENT;MTG_WACPN;NXT_CPN_DT;CPN;PX_YEST_CLOSE;YLD_YTM_MID;PX_YEST_DT;HIGH_52WEEK;HIGH_DT_52WEEK;LOW_52WEEK;LOW_DT_52WEEK;CV_START_DT;CV_CNVS_PX;YLD_YTM_BID;YLD_YTM_ASK;PREVIOUS_TOTAL_VOLUME;CUR_MKT_CAP;PX_VOLUME;TURNOVER;VOLATILITY_30D;VOLATILITY_90D;VOLATILITY_360D;EQY_FLOAT;EQY_SH_OUT;REL_INDEX;ROBECOSAM_TOTAL_STBLY_RANK;ENVIRONMENTAL_SCORE;SOCIAL_SCORE;GOVERNANCE_SCORE;EARN_YLD_HIST;BDVD_NEXT_EST_EX_DT;BDVD_PROJ_DIV_AMT;DVD_SH_LAST;FUND_TOTAL_ASSETS;FUND_CLASS_ASSETS
MUZESTE ID Equity;0;17;IE0033758917;EUR;04/05/2023;162.480000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162.480000  ;;04/05/2023;164.280000  ;09/02/2023;157.910000  ;21/10/2022;;;;;N.A.;;0  ;;1.523  ;2.314  ;2.047  ;;;;;;;;;;;;10191.2266  ;3070.119  
MUZESTU ID Equity;0;17;IE0033759436;USD;04/05/2023;193.120000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193.120000  ;;04/05/2023;194.260000  ;09/02/2023;184.880000  ;13/10/2022;;;;;N.A.;;0  ;;1.543  ;2.344  ;2.096  ;;;;;;;;;;;;10191.2266  ;296.491  
MVUS FP Equity;0;17;IE00BHNGHW42;USD;24/03/2023;261.960000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N.A.;;N.A.;287.570000  ;30/05/2022;244.460000  ;11/10/2022;;;;;0  ;;0  ;;N.A.;12.302  ;15.103  ;;;;;;;;;;;;113.4432  ;17.013  
MWORGCA LX Equity;0;17;LU0331289594;EUR;04/05/2023;26.280000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.280000  ;;04/05/2023;27.340000  ;05/05/2022;19.060000  ;26/09/2022;;;;;N.A.;;0  ;;21.898  ;23.202  ;29.764  ;;;;;;;;;;;;4562.9640  ;40.424  
NABSRBE LX Equity;0;17;LU0227384020;EUR;04/05/2023;17.786500  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.786500  ;;04/05/2023;17.920000  ;16/08/2022;16.440000  ;13/10/2022;;;;;N.A.;;0  ;;5.065  ;6.771  ;8.492  ;;;;;;;;;;;;5884.5078  ;2316.746  
NACOERC FP Equity;0;17;FR0010678359;EUR;03/05/2023;161.080000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161.080000  ;;03/05/2023;165.400000  ;05/05/2022;146.780000  ;29/09/2022;;;;;N.A.;;0  ;;7.616  ;7.426  ;9.057  ;;;;;;;;;;;;318.8347  ;8.737  
NAH2ALR FP Equity;0;17;FR0011015460;EUR;03/05/2023;37258.330000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37258.330000  ;;03/05/2023;38053.710000  ;17/04/2023;25803.680000  ;05/07/2022;;;;;N.A.;;0  ;;12.440  ;18.432  ;37.491  ;;;;;;;;;;;;271.4685  ;65.541  
NAH2HIC FP Equity;0;17;FR0011981794;CHF;03/05/2023;61251.600000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61251.600000  ;;03/05/2023;61886.090000  ;03/04/2023;54371.860000  ;29/09/2022;;;;;N.A.;;0  ;;5.734  ;4.566  ;8.986  ;;;;;;;;;;;;492.9874  ;8.005  
NATCTIC FP Equity;0;17;FR0010885236;EUR;04/05/2023;103309.300000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103309.300000  ;;04/05/2023;103309.300000  ;04/05/2023;102025.700000  ;31/07/2022;;;;;N.A.;;0  ;;.166  ;.131  ;.118  ;;;;;;;;;;;;15185.4648  ;13699.800  
NATEHIA LX Equity;0;17;LU0556616935;EUR;03/05/2023;158.810000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158.810000  ;;03/05/2023;162.790000  ;03/02/2023;144.710000  ;13/10/2022;;;;;N.A.;;0  ;;3.940  ;6.040  ;6.715  ;;;;;;;;;;;;209.1401  ;107.528  
NATEHRA LX Equity;0;17;LU0556617156;EUR;03/05/2023;143.170000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143.170000  ;;03/05/2023;147.010000  ;03/02/2023;130.990000  ;13/10/2022;;;;;N.A.;;0  ;;3.931  ;6.044  ;6.831  ;;;;;;;;;;;;209.1401  ;.549  
NATMVEI LX Equity;0;17;LU0935229152;EUR;03/05/2023;24027.040000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24027.040000  ;;03/05/2023;24272.670000  ;25/04/2023;20498.150000  ;12/10/2022;;;;;N.A.;;0  ;;7.351  ;8.753  ;12.723  ;;;;;;;;;;;;414.0718  ;134.376  
NATMVMI LX Equity;0;17;LU0935230671;EUR;03/05/2023;23141.010000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23141.010000  ;;03/05/2023;24981.880000  ;16/08/2022;22394.260000  ;30/09/2022;;;;;N.A.;;0  ;;7.759  ;7.280  ;9.799  ;;;;;;;;;;;;352.6670  ;56.323  
